name,id_spotify,id_genius,url_genius,genres
Lacraps,082dnQ2APdm4cFw8eILB4u,182217,https://genius.com/artists/Lacraps,
ZeGuerre,3Rz9ULXMl7mfhCCFNnhd5N,1080562,https://genius.com/artists/Zeguerre,
Dibson,3I2ayKNkuX0gqKPZDBnxNk,87434,https://genius.com/artists/Dibson,
Kool Shen,6oc3ElPTqRlMxSWCuZPi3x,12547,https://genius.com/artists/Kool-shen,
Dinor rdt,3RJNCnIkqvVwEicgGo2nqJ,1675921,https://genius.com/artists/Dinor-rdt,pop urbaine
Cut Killer,1qBSTVOOFSTKWn3TQUtWqw,29268,https://genius.com/artists/Cut-killer,
Le 3ème Oeil,4UUv9SzL15YuB6epX0YGdy,80732,https://genius.com/artists/Le-3eme-il,
Biwaï,3ydKJWfVcxb3hOECejiAYi,592381,https://genius.com/artists/Biwai,pop urbaine
Assassin,5zbzDats0HBBPuir5QWKWm,1282,https://genius.com/artists/Booba,
Gianni,5W9ShLREoRMuXqSSYMeHqk,939,https://genius.com/artists/Freddie-gibbs,pop urbaine
Lucio Bukowski,2uNTCtTH48JmBT5b3PEgcW,16163,https://genius.com/artists/Lucio-bukowski,
PSO THUG,34dSaKok3USBivMGTmIlXx,212473,https://genius.com/artists/Pso-thug,
2zer,7Iw6TwPkS7bja1OrA3Neal,14072,https://genius.com/artists/2zer,
JMK$,2v6hsrO3H2uRWgdsPfGQ1d,749190,https://genius.com/artists/Jmk,
Kheops,7g9QCyx9r1R424eMqNtM2g,1961,https://genius.com/artists/Akhenaton,
DENZO,1pQtc9O0CKJYhvaICw39z9,332629,https://genius.com/artists/Denzo,
Norsacce Berlusconi,6SWyMvHN1YLZ95qwbKf26N,440106,https://genius.com/artists/Norsacce-berlusconi,drill
Youri,1g4gTYnPjQSIOAzFU3V8AL,1282676,https://genius.com/artists/Youri,
Ideal J,6knHYSqYjjguJjD5SvjrLx,2036,https://genius.com/artists/Ideal-j,
Cinco,3S8r9fkqybCCXJLhZGA3r1,1583,https://genius.com/artists/French-montana,
Melan,5TwGksCe3pSfpBcV96k6sS,153995,https://genius.com/artists/Melanie-martinez,
Saké,05i5CWPH3OWAJtx09QDeBJ,1507735,https://genius.com/artists/Genius-romanizations,
sean,7CxSejERLJhkuYRU6D1d8C,492,https://genius.com/artists/Big-sean,
Brasco,3tKR0XXN0pW0Kl7UDAVSHL,12000,https://genius.com/artists/Brasco-fra,
Vin's,3kBOfwS7wKdNH41Zy8eJjx,365776,https://genius.com/artists/Dde,
BRVMSOO,4IAqcSIINRfPQC57mgYhW2,1282346,https://genius.com/artists/Brvmsoo,pop urbaine
Senamo,2RPfjjkSe3N9gmyGk1ZBxo,38498,https://genius.com/artists/Senamo,
La Clinique,47NHcwh7V1kVlxr9Co6k1r,54428,https://genius.com/artists/La-clinique,
El Matador,5WXxrPG1ifx9gOa5mHMm0o,15808,https://genius.com/artists/El-matador,raï
Lorage,2roV5f30gWneIOkPjdpntN,1030497,https://genius.com/artists/Lorage,
KDD,0wNPt95tKAlBygX040Zi0V,12715,https://genius.com/artists/Aka,
ATK,4nOixYyTN15ZSzPSna2Oah,11154,https://genius.com/artists/Jason-weaver,
Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,15706,https://genius.com/artists/Fixpen-sill,
L'Or du Commun,2lPL3aVXBS4gVGymFOAYxF,75160,https://genius.com/artists/Lor-du-commun,
Jeff Le Nerf,6BmoZG6Z7N10aKb4yyoo27,1245680,https://genius.com/artists/Furax-and-jeff-le-nerf,
L'uzine,7BeihcnNgK5Md6ORbMEqwf,223211,https://genius.com/artists/Luzine,
